sku,title,category,brand,freq_range,output_power,type,standards,short_description,source_url
EM250411,Emctestlab M700G018-25,power-amplifiers,Emctestlab,700 МГц – 18 ГГц,50 Вт,Усилитель мощности двухдиапазонный,"IEC 61000-4-3, ГОСТ Р 51317.4.3, IEC 61000-4-20 (TEM), IEC 61000-4-21 (Reverb), IEC 61000-4-39, MIL-STD-461 RS103, ГОСТ РВ 6601-001 ВИ1, RTCA/DO-160 Section 20 (S), ГОСТ Р 56529 Приложение П (RS103), ISO 11451-2, ISO 11452-2, ISO 11452-3","Широкополосный твердотельный усилитель мощности в стандартном 19″ корпусе для лабораторных ЭМС-испытаний, антенных измерений и связи.",https://www.emctestlab.ru/catalog/amplifiers/m700g018_25-3975/
EM250410,Emctestlab K010G001-50,power-amplifiers,Emctestlab,10 кГц – 1 ГГц,50 Вт,Усилитель мощности твердотельный,"IEC 61000-4-3, ГОСТ Р 51317.4.3, IEC 61000-4-6, ГОСТ Р 51317.4.6, IEC 61000-4-20 (TEM), MIL-STD-461 CS114, MIL-STD-461 RS103, ГОСТ РВ 6601-001 ВП2, ГОСТ РВ 6601-001 ВИ1, RTCA/DO-160 Section 20 (S), ГОСТ Р 56529 Приложение М (CS114), ГОСТ Р 56529 Приложение П (RS103), ISO 11451-2, ISO 11452-2, ISO 11452-3, ISO 11452-4, ISO 11452-5, CISPR 24 (ОИТ, S), CISPR 35 (multimedia, S)","Широкополосный твердотельный усилитель мощности в стандартном 19″ корпусе для лабораторных ЭМС-испытаний, антенных измерений и связи.",https://www.emctestlab.ru/catalog/amplifiers/k010g001_50-3974/
SV0090,Emctestlab G001G006,power-amplifiers,Emctestlab,1 ГГц – 6 ГГц,"10 Вт, 40 Вт, 100 Вт, 120 Вт",Усилитель мощности твердотельный,"IEC 61000-4-3, ГОСТ Р 51317.4.3, IEC 61000-4-20 (TEM), IEC 61000-4-21 (Reverb), IEC 61000-4-39, MIL-STD-461 RS103, ГОСТ РВ 6601-001 ВИ1, RTCA/DO-160 Section 20 (S), ГОСТ Р 56529 Приложение П (RS103), ISO 11451-2, ISO 11452-2, ISO 11452-3","Широкополосный твердотельный усилитель мощности в стандартном 19″ корпусе для лабораторных ЭМС-испытаний, антенных измерений и связи.",https://www.emctestlab.ru/catalog/amplifiers/g001g006-1114/?oid=3497
EM250006,Emctestlab M080G001,power-amplifiers,Emctestlab,80 МГц – 1 ГГц,"100 Вт, 120 Вт, 400 Вт, 850 Вт, 1,2 кВт, 10 кВт",Усилитель мощности твердотельный,"IEC 61000-4-3, ГОСТ Р 51317.4.3, IEC 61000-4-20 (TEM), IEC 61000-4-21 (Reverb), IEC 61000-4-39, MIL-STD-461 RS103, ГОСТ РВ 6601-001 ВИ1, RTCA/DO-160 Section 20 (S), ГОСТ Р 56529 Приложение П (RS103), ISO 11451-2, ISO 11452-2, ISO 11452-3, ISO 11452-5, CISPR 24 (ОИТ, S), CISPR 35 (multimedia, S)","Широкополосный твердотельный усилитель мощности в стандартном 19″ корпусе для лабораторных ЭМС-испытаний, антенных измерений и связи.",https://www.emctestlab.ru/catalog/amplifiers/m080g001-3479/?oid=3483
2511091,Emctestlab K009M400,power-amplifiers,Emctestlab,9 кГц – 400 МГц,"100 Вт, 1 кВт",Усилитель мощности твердотельный,"IEC 61000-4-6, ГОСТ Р 51317.4.6, IEC 61000-4-20 (TEM), MIL-STD-461 CS114, MIL-STD-461 RS103, ГОСТ РВ 6601-001 ВП2, ГОСТ РВ 6601-001 ВИ1, RTCA/DO-160 Section 20 (S), ГОСТ Р 56529 Приложение М (CS114), ГОСТ Р 56529 Приложение П (RS103), ISO 11451-2, ISO 11452-2, ISO 11452-3, ISO 11452-4, ISO 11452-5","Широкополосный твердотельный усилитель мощности в стандартном 19″ корпусе для лабораторных ЭМС-испытаний, антенных измерений и связи.",https://www.emctestlab.ru/catalog/amplifiers/k009m400-4189/?oid=4190
AG1100,Emctestlab K009M250,power-amplifiers,Emctestlab,9 кГц – 250 МГц,"500 Вт, 1 кВт, 1,5 кВт, 3 кВт",Усилитель мощности твердотельный,"IEC 61000-4-6, ГОСТ Р 51317.4.6, IEC 61000-4-20 (TEM), MIL-STD-461 CS114, MIL-STD-461 RS103, ГОСТ РВ 6601-001 ВП2, ГОСТ РВ 6601-001 ВИ1, RTCA/DO-160 Section 20 (S), ГОСТ Р 56529 Приложение М (CS114), ГОСТ Р 56529 Приложение П (RS103), ISO 11451-2, ISO 11452-2, ISO 11452-3, ISO 11452-5","Широкополосный твердотельный усилитель мощности в стандартном 19″ корпусе для лабораторных ЭМС-испытаний, антенных измерений и связи.",https://www.emctestlab.ru/catalog/amplifiers/k009m250-3236/?oid=3490
2510014,Emctestlab G002G012-200L,power-amplifiers,Emctestlab,2 ГГц – 12 ГГц,200 Вт,Усилитель мощности твердотельный,,Широкополосный твердотельный усилитель мощности X-диапазона в 19″ корпусе для испытаний и измерений.,https://www.emctestlab.ru/catalog/amplifiers/g002g012_200l-4077/
2509124,Emctestlab M915M915-200L,power-amplifiers,Emctestlab,915 МГц,200 Вт,Усилитель мощности твердотельный,,Узкополосный твердотельный усилитель мощности в 19″ корпусе — облегчённая версия для лабораторных и ЭМС-задач по сниженной цене.,https://www.emctestlab.ru/catalog/amplifiers/m915m915_200l-4019/
2509123,Emctestlab G245G245-200L,power-amplifiers,Emctestlab,"2,45 ГГц",200 Вт,Усилитель мощности твердотельный,,Узкополосный твердотельный усилитель мощности в 19″ корпусе — облегчённая версия для лабораторных и ЭМС-задач по сниженной цене.,https://www.emctestlab.ru/catalog/amplifiers/g245g245_200l-4018/
2509122,Emctestlab M040M041-200L,power-amplifiers,Emctestlab,"40,68 МГц",200 Вт,Усилитель мощности твердотельный,,Узкополосный твердотельный усилитель мощности в 19″ корпусе — облегчённая версия для лабораторных и ЭМС-задач по сниженной цене.,https://www.emctestlab.ru/catalog/amplifiers/m040m041_200l-4016/
