sku;short_description;adapt;regular_price
10A-Testing-Cable;Banana jack to alligator clip test lead(Current rating:10A);DP2000/DP900; 4 189 ? 
AD-3.5F-2.92M-L-26G;Adapter, 3.5mm (f) - 2.92 (m), DC ~ 26.5GHz;Vector Network Analyzer; 17 340 ? 
AD-3.5F-3.5F-L-26G;Adapter, 3.5mm (f) - 3.5mm (f), DC ~ 26.5GHz;Vector Network Analyzer; 13 860 ? 
AD-3.5M-2.92F-L-26G;Adapter, 3.5mm (m) - 2.92 (f), DC ~ 26.5GHz;Vector Network Analyzer; 17 340 ? 
AD-3.5M-3.5M-L-26G;Adapter, 3.5mm (m) - 3.5mm (m), DC ~ 26.5GHz;Vector Network Analyzer; 13 860 ? 
AD-NF-NF-L-18G;Adapter, N (f) - N (f), DC ~ 18GHz;Vector Network Analyzer; 6 930 ? 
AD-NM-BNCF-L-4G;Adapter, N (m) - BNC (f), DC ~ 4GHz;Vector Network Analyzer; 13 860 ? 
AD-NM-NM-L-18G;Adapter, N (m) - N(m), DC ~ 18GHz;Vector Network Analyzer; 11 550 ? 
ADP0150BNC;50Ohm Impedance Adapter(2W, 1GHz);COMMON; 2 002 ? 
AD-SMAF-BNCM-L-4G;Adapter, SMA (f) - BNC (m), DC ~ 4GHz;Vector Network Analyzer; 13 860 ? 
AD-SMAF-NM-L-18G;Adapter, SMA (f) - N (m), DC ~ 18GHz;Vector Network Analyzer; 9 240 ? 
AD-SMAF-SMAF-L-18G;Adapter, SMA (f) - SMA (f), DC ~ 18GHz;Vector Network Analyzer; 9 240 ? 
AD-SMAM-NM-L-18G;Adapter, SMA (m) - N (m), DC ~ 18GHz;Vector Network Analyzer; 9 240 ? 
AD-SMAM-SMAM-L-18G;Adapter, SMA (m) - SMA (m), DC ~ 18GHz;Vector Network Analyzer; 8 100 ? 
AFK-DP800;On line monitoring and analysis;DP800; 14 661 ? 
AMK-DSA800;Advanced Measurement Module;DSA800; 83 776 ? 
Arb16M-DG1000Z;16Mpts Memory Depth option;16Mpts Memory Depth option; 25 133 ? 
ARM;ARM;COMMON; 90 059 ? 
ATT03301H;30dB High Power Attenuator, Max Power 100W;DSA,DSG; 33 510 ? 
BAG-800;Instrument Pack;Accessories and Options; 8 994 ? 
BAG-DS1000;Soft Carring Bag;Soft Carring Bag; 8 254 ? 
BAG-G1;General Bag(DSA800/DG4000/DS2000);COMMON; 23 038 ? 
BatHolder350;Battery compartment;Battery compartment; 161 669 ? 
BNC Adapter Input 50 ?;BNC Adapter Input 50?;DS80000; 300 300 ? 
CB-20A-780MM;20A Red and Black Test Lead;DL3000; 2 094 ? 
CB-3.5M-3.5M-100-L-26G;RF Cable, DC ~ 26.5 GHz, 3.5 mm (m) - 3.5 mm (m), 100 cm;Vector Network Analyzer; 66 774 ? 
CB-40A-780MM;40A Red and Black Test Lead;DL3000; 4 189 ? 
CB-60A-780MM;60A Red and Black Test Lead;DL3000; 6 376 ? 
CB-80A-780MM;80A Red and black test cables;DL3000; 9 209 ? 
CB-BNC-AC-100-L;BNC TO ALLIGATOR CLIP;DG; 2 094 ? 
CB-BNC-BNC-MM-100;BNC Cable, 100cm;COMMON; 2 033 ? 
CB-DB9-DB9-F-F-150;RS232 Cable, Female to Female, 150cm;ALL; 2 064 ? 
CB-NM-3.5M-100-L-18G;RF Cable, DC ~ 18 GHz, N (m) - 3.5mm (m), 100 cm;Vector Network Analyzer; 59 844 ? 
CB-NMD3.5F-3.5F-63-L-26G;VNA RF Cable, DC ~ 26.5 GHz, NMD 3.5mm (f) - 3.5mm (f), 63.5 cm;Vector Network Analyzer; 170 724 ? 
CB-NM-NM-100-L-18G;RF Cable, DC ~ 18 GHz, N (m) - N (m), 100 cm;Vector Network Analyzer; 59 844 ? 
CB-NM-NM-75-L-12G;N(M)-N(M) RF Cable;DSA,DSG; 29 322 ? 
CB-NM-SMAM-100-L-18G;RF Cable, DC ~ 18 GHz, N (m) - SMA (m), 100 cm;Vector Network Analyzer; 59 844 ? 
CB-NM-SMAM-75-L-12G;N(M)-SMA(M) RF Cable;DSA,DSG; 29 322 ? 
CB-RS232-A;9-Pin RS232 Cable (female-to-female, cross-over);DL3000; 2 187 ? 
CB-SENSE;Sense Cable;DL3000; 2 094 ? 
CB-SMAM-SMAM-100-L-18G;RF Cable, DC ~ 18 GHz, SMA (m) - SMA (m), 100 cm;Vector Network Analyzer; 59 844 ? 
CB-SMB-BNC-FF-100;SMB(F) to BNC(F) cable, 100cm;Signal Generator Accessories; 8 254 ? 
CB-SMB-BNC-FM-100;SMB(F) to BNC(M) cable, 100cm;Signal Generator Accessories; 8 254 ? 
