sku;freq-range;rbw;danl;phase-noise
RSA3015E;9 кГц – 1,5 ГГц;1 Гц – 10 МГц;−161 дБм;−102 дБн/Гц при 10 кГц
RSA3015E-TG;9 кГц – 1,5 ГГц;1 Гц – 10 МГц;−161 дБм;−102 дБн/Гц при 10 кГц
RSA3015N;9 кГц – 1,5 ГГц;1 Гц – 10 МГц;−161 дБм;−102 дБн/Гц при 10 кГц
RSA3030;9 кГц – 3 ГГц;1 Гц – 10 МГц;−161 дБм;−102 дБн/Гц при 10 кГц
RSA3030E;9 кГц – 3 ГГц;1 Гц – 10 МГц;−161 дБм;−102 дБн/Гц при 10 кГц
RSA3030E-TG;9 кГц – 3 ГГц;1 Гц – 10 МГц;−161 дБм;−102 дБн/Гц при 10 кГц
RSA3030N;9 кГц – 3 ГГц;1 Гц – 10 МГц;−161 дБм;−102 дБн/Гц при 10 кГц
RSA3030-TG;9 кГц – 3 ГГц;1 Гц – 10 МГц;−161 дБм;−102 дБн/Гц при 10 кГц
RSA3045;9 кГц – 4,5 ГГц;1 Гц – 10 МГц;−161 дБм;−102 дБн/Гц при 10 кГц
RSA3045N;9 кГц – 4,5 ГГц;1 Гц – 10 МГц;−161 дБм;−102 дБн/Гц при 10 кГц
RSA3045-TG;9 кГц – 4,5 ГГц;1 Гц – 10 МГц;−161 дБм;−102 дБн/Гц при 10 кГц
RSA5032;9 кГц – 3,2 ГГц;1 Гц – 10 МГц;−165 дБм;−108 дБн/Гц при 10 кГц
RSA5032N;9 кГц – 3,2 ГГц;1 Гц – 10 МГц;−165 дБм;−108 дБн/Гц при 10 кГц
RSA5032-TG;9 кГц – 3,2 ГГц;1 Гц – 10 МГц;−165 дБм;−108 дБн/Гц при 10 кГц
RSA5065;9 кГц – 6,5 ГГц;1 Гц – 10 МГц;−165 дБм;−108 дБн/Гц при 10 кГц
RSA5065N;9 кГц – 6,5 ГГц;1 Гц – 10 МГц;−165 дБм;−108 дБн/Гц при 10 кГц
RSA5065-TG;9 кГц – 6,5 ГГц;1 Гц – 10 МГц;−165 дБм;−108 дБн/Гц при 10 кГц
RSA6085;5 кГц – 8,5 ГГц;1 Гц – 10 МГц;−163 дБм;−108 дБн/Гц при 10 кГц
RSA6140;5 кГц – 14 ГГц;1 Гц – 10 МГц;−163 дБм;−108 дБн/Гц при 10 кГц
RSA6265;5 кГц – 26,5 ГГц;1 Гц – 10 МГц;−163 дБм;−108 дБн/Гц при 10 кГц
RSA804;5 кГц – 4,5 ГГц;1 Гц – 10 МГц;−168 дБм;−112 дБн/Гц при 10 кГц
RSA808;5 кГц – 8,5 ГГц;1 Гц – 10 МГц;−168 дБм;−112 дБн/Гц при 10 кГц
RSA814;5 кГц – 14 ГГц;1 Гц – 10 МГц;−168 дБм;−112 дБн/Гц при 10 кГц
DSA705;;;;
DSA710;;;;
DSA815;9 кГц – 1,5 ГГц;10 Гц – 10 МГц;−161 дБм;−98 дБн/Гц при 10 кГц
DSA815-TG;9 кГц – 1,5 ГГц;10 Гц – 10 МГц;−161 дБм;−98 дБн/Гц при 10 кГц
DSA832;9 кГц – 3,2 ГГц;10 Гц – 10 МГц;−161 дБм;−98 дБн/Гц при 10 кГц
DSA832E;9 кГц – 3,2 ГГц;10 Гц – 10 МГц;−161 дБм;−98 дБн/Гц при 10 кГц
DSA832E-TG;9 кГц – 3,2 ГГц;10 Гц – 10 МГц;−161 дБм;−98 дБн/Гц при 10 кГц
DSA832-TG;9 кГц – 3,2 ГГц;10 Гц – 10 МГц;−161 дБм;−98 дБн/Гц при 10 кГц
DSA875;9 кГц – 7,5 ГГц;10 Гц – 10 МГц;−161 дБм;−98 дБн/Гц при 10 кГц
DSA875-TG;9 кГц – 7,5 ГГц;10 Гц – 10 МГц;−161 дБм;−98 дБн/Гц при 10 кГц
