sku;bandwidth;channels;sample-rate;memory
DHO1072;70 МГц;2;2 Гвыб/с;100 Мвыб
DHO1074;70 МГц;4;2 Гвыб/с;100 Мвыб
DHO1102;100 МГц;2;2 Гвыб/с;100 Мвыб
DHO1104;100 МГц;4;2 Гвыб/с;100 Мвыб
DHO1202;200 МГц;2;2 Гвыб/с;100 Мвыб
DHO1202U;200 МГц;2;2 Гвыб/с;100 Мвыб
DHO1204;200 МГц;4;2 Гвыб/с;100 Мвыб
DHO1204U;200 МГц;4;2 Гвыб/с;100 Мвыб
DHO4204;200 МГц;4;4 Гвыб/с;500 Мвыб
DHO4404;400 МГц;4;4 Гвыб/с;500 Мвыб
DHO4804;800 МГц;4;4 Гвыб/с;500 Мвыб
DHO5054;500 МГц;4;4 Гвыб/с;500 Мвыб
DHO5058;500 МГц;8;4 Гвыб/с;500 Мвыб
DHO5104;1 ГГц;4;4 Гвыб/с;500 Мвыб
DHO5108;1 ГГц;8;4 Гвыб/с;500 Мвыб
DHO802;70 МГц;2;1,25 Гвыб/с;25 Мвыб
DHO804;70 МГц;4;1,25 Гвыб/с;25 Мвыб
DHO812;100 МГц;2;1,25 Гвыб/с;25 Мвыб
DHO814;100 МГц;4;1,25 Гвыб/с;25 Мвыб
DHO914;125 МГц;4;1,25 Гвыб/с;50 Мвыб
DHO914S;125 МГц;4;1,25 Гвыб/с;50 Мвыб
DHO924;250 МГц;4;1,25 Гвыб/с;50 Мвыб
DHO924S;250 МГц;4;1,25 Гвыб/с;50 Мвыб
DS1054Z;50 МГц;4;1 Гвыб/с;24 Мвыб
DS1074Z Plus;70 МГц;4;1 Гвыб/с;24 Мвыб
DS1074Z-S Plus;70 МГц;4;1 Гвыб/с;24 Мвыб
DS1102Z-E;100 МГц;2;1 Гвыб/с;24 Мвыб
DS1104Z Plus;100 МГц;4;1 Гвыб/с;24 Мвыб
DS1104Z-S Plus;100 МГц;4;1 Гвыб/с;24 Мвыб
DS1202Z-E;200 МГц;2;1 Гвыб/с;24 Мвыб
DS2102A;100 МГц;2;;
DS2202A;200 МГц;2;;
DS2302A;300 МГц;2;;
DS7014;100 МГц;4;;
DS7024;200 МГц;4;;
DS70304;3 ГГц;4;;
DS7034;300 МГц;4;;
DS70504;5 ГГц;4;20 Гвыб/с;2 Гвыб
DS7054;500 МГц;4;;
DS8034-R;350 МГц;4;10 Гвыб/с;500 Мвыб
DS8104-R;1 ГГц;4;10 Гвыб/с;500 Мвыб
DS8204-R;2 ГГц;4;10 Гвыб/с;500 Мвыб
DS9202;2 ГГц;2;20 Гвыб/с;2 Гвыб
DS9204;2 ГГц;4;20 Гвыб/с;2 Гвыб
DS9404;4 ГГц;4;20 Гвыб/с;2 Гвыб
DS9604;6 ГГц;4;20 Гвыб/с;2 Гвыб
MHO2024;200 МГц;4;2 Гвыб/с;500 Мвыб
MHO2034;350 МГц;4;2 Гвыб/с;500 Мвыб
MHO5054;500 МГц;4;4 Гвыб/с;500 Мвыб
MHO5056;500 МГц;6;4 Гвыб/с;500 Мвыб
MHO5104;1 ГГц;4;4 Гвыб/с;500 Мвыб
MHO5106;1 ГГц;6;4 Гвыб/с;500 Мвыб
MHO934;350 МГц;4;4 Гвыб/с;500 Мвыб
MHO954;500 МГц;4;4 Гвыб/с;500 Мвыб
MHO984;800 МГц;4;4 Гвыб/с;500 Мвыб
MSO2102A;100 МГц;2;;
MSO2102A-S;100 МГц;2;;
MSO2202A;200 МГц;2;;
MSO2202A-S;200 МГц;2;;
MSO2302A;300 МГц;2;;
MSO2302A-S;300 МГц;2;;
MSO5072;70 МГц;2;8 Гвыб/с;200 Мвыб
MSO5074;70 МГц;4;8 Гвыб/с;200 Мвыб
MSO5102;100 МГц;2;8 Гвыб/с;200 Мвыб
MSO5104;100 МГц;4;8 Гвыб/с;200 Мвыб
MSO5204;200 МГц;4;8 Гвыб/с;200 Мвыб
MSO5354;350 МГц;4;8 Гвыб/с;200 Мвыб
MSO7014;100 МГц;4;;
MSO7024;200 МГц;4;;
MSO7034;300 МГц;4;;
MSO7054;500 МГц;4;;
MSO8064;600 МГц;4;10 Гвыб/с;500 Мвыб
MSO8074A;750 МГц;4;10 Гвыб/с;500 Мвыб
MSO8104;1 ГГц;4;10 Гвыб/с;500 Мвыб
MSO8154A;1.5 ГГц;4;10 Гвыб/с;500 Мвыб
MSO8204;2 ГГц;4;10 Гвыб/с;500 Мвыб
MSO8204A;2 ГГц;4;10 Гвыб/с;500 Мвыб
MSO9402;4 ГГц;2;20 Гвыб/с;2 Гвыб
DS81304;13 ГГц;4;40 Гвыб/с;4 Гвыб
DS81004;10 ГГц;4;40 Гвыб/с;4 Гвыб
DS80804;8 ГГц;4;40 Гвыб/с;4 Гвыб
DS80604;6 ГГц;4;40 Гвыб/с;4 Гвыб
