sku;bandwidth;channels;sample-rate;memory
DHO1072;70 МГц;;;
DHO1074;70 МГц;;;
DHO1102;100 МГц;;;
DHO1104;100 МГц;;;
DHO1202;200 МГц;;;
DHO1202U;200 МГц;;;
DHO1204;200 МГц;;;
DHO1204U;200 МГц;;;
DHO4204;200 МГц;;;
DHO4404;400 МГц;;;
DHO4804;800 МГц;;;
DHO5054;500 МГц;;;
DHO5058;500 МГц;;;
DHO5104;1 ГГц;;;
DHO5108;1 ГГц;;;
DHO802;70 МГц;;;
DHO804;70 МГц;;;
DHO812;100 МГц;;;
DHO814;100 МГц;;;
DHO914;125 МГц;;;
DHO914S;125 МГц;;;
DHO924;250 МГц;;;
DHO924S;250 МГц;;;
DS1054Z;50 МГц;;;
DS1074Z Plus;70 МГц;;;
DS1074Z-S Plus;70 МГц;;;
DS1102Z-E;100 МГц;;;
DS1104Z Plus;100 МГц;;;
DS1104Z-S Plus;100 МГц;;;
DS1202Z-E;200 МГц;;;
DS2102A;100 МГц;;;
DS2202A;200 МГц;;;
DS2302A;300 МГц;;;
DS7014;100 МГц;;;
DS7024;200 МГц;;;
DS70304;3 ГГц;;;
DS7034;350 МГц;;;
DS70504;5 ГГц;;;
DS7054;500 МГц;;;
DS8034-R;350 МГц;;;
DS8104-R;1 ГГц;;;
DS8204-R;2 ГГц;;;
DS9202;2 ГГц;;;
DS9204;2,5 ГГц;;;
DS9404;4 ГГц;;;
DS9604;6 ГГц;;;
MHO2024;200 МГц;;;
MHO2034;350 МГц;;;
MHO5054;500 МГц;;;
MHO5056;500 МГц;;;
MHO5104;1 ГГц;;;
MHO5106;1 ГГц;;;
MHO934;350 МГц;;;
MHO954;500 МГц;;;
MHO984;800 МГц;;;
MSO2102A;100 МГц;;;
MSO2102A-S;100 МГц;;;
MSO2202A;200 МГц;;;
MSO2202A-S;200 МГц;;;
MSO2302A;300 МГц;;;
MSO2302A-S;300 МГц;;;
MSO5072;70 МГц;;;
MSO5074;70 МГц;;;
MSO5102;100 МГц;;;
MSO5104;100 МГц;;;
MSO5204;200 МГц;;;
MSO5354;350 МГц;;;
MSO7014;100 МГц;;;
MSO7024;200 МГц;;;
MSO7034;350 МГц;;;
MSO7054;500 МГц;;;
MSO8064;600 МГц;;;
MSO8074A;750 МГц;;;
MSO8104;1 ГГц;;;
MSO8154A;1,5 ГГц;;;
MSO8204;2 ГГц;;;
MSO8204A;2 ГГц;;;
MSO9402;4 ГГц;;;
DS81304;13 ГГц;;;
DS81004;10 ГГц;;;
DS80804;8 ГГц;;;
DS80604;6 ГГц;;;
